match_id,id,minute,second,team,player,x,y,shot_body_part,shot_type,shot_first_time,shot_aerial_won,under_pressure,is_goal,shot_one_on_one
3879760,86e1031c-0679-4ecb-9863-7057c8bc9c0b,15,22,Bologna,Saphir Sliti Taïder,86.0,42.3,Right Foot,Open Play,,,,0,
3879760,66275ba4-33b8-4d47-ac44-e2716da1432d,18,37,Palermo,Ivaylo Chochev,90.0,38.2,Left Foot,Open Play,,,,0,
3879760,5260f3f1-8b1a-428a-9582-4e2e76e4604a,20,9,Bologna,Sergio Floccari,107.3,42.4,Left Foot,Open Play,True,,True,0,
3879760,e608f844-9249-4d52-b059-dadae06ddda4,25,52,Bologna,Mattia Destro,97.9,32.4,Right Foot,Open Play,,,,0,
3879760,2df3bde7-8b74-4ebd-97ee-a4ffdd59984d,27,34,Bologna,Emanuele Giaccherini,100.7,55.6,Right Foot,Open Play,,,,0,
3879760,106667e4-54a3-48e7-90d4-9052a716334c,32,4,Bologna,Sergio Floccari,89.8,43.5,Right Foot,Open Play,,,,0,
3879760,1ffb3bc2-a983-489c-b1a4-1da75eaf3613,35,21,Palermo,Enzo Maresca,95.6,55.7,Right Foot,Free Kick,,,,0,
3879760,3df9fa90-d86e-4a4e-a548-33e9f58a8eea,38,39,Bologna,Amadou Diawara,87.5,27.0,Right Foot,Open Play,,,True,0,
3879760,d15a2500-5c04-434f-803f-0d7f4e826c38,43,51,Bologna,Emanuele Giaccherini,89.1,44.2,Right Foot,Open Play,,,,0,
3879760,baf18907-814c-4b0d-8711-1634c32bf698,46,49,Palermo,Roberto Vitiello,106.2,45.5,Left Foot,Open Play,,,,0,
3879760,d3bef7c2-89aa-4654-a6fc-051bb8b41329,46,8,Bologna,Mattia Destro,105.7,33.9,Left Foot,Open Play,,,True,0,True
3879760,61290c18-a9d0-4761-829f-8a4db5d38bdc,46,45,Bologna,Emanuele Giaccherini,92.1,47.8,Right Foot,Open Play,,,,0,
3879760,9b356c34-90e1-43fc-8be3-1b83a610525f,53,11,Palermo,Oscar Hiljemark,104.7,41.6,Left Foot,Open Play,True,,True,0,
3879760,a5fbf01d-720d-4899-ac79-42a3d74fa27a,56,27,Palermo,Franco Damián Vázquez,102.8,33.7,Left Foot,Open Play,True,,,0,
